Fecha inicio = 08/11/2024;Fecha fin = 15/11/2024;Especialidad = Cardiologia;Id = 18;Nombre = 18;
Fecha inicio = 08/11/2024;Fecha fin = 15/11/2024;Especialidad = Cardiologia;Id = 19;Nombre = 19;
Fecha inicio = 08/11/2024;Fecha fin = 15/11/2024;Especialidad = Cirugia;Id = 1;Nombre = 1;
Fecha inicio = 08/11/2024;Fecha fin = 15/11/2024;Especialidad = Cirugia;Id = 4;Nombre = 4;
Fecha inicio = 08/11/2024;Fecha fin = 15/11/2024;Especialidad = Dermatologia;Id = 11;Nombre = 11;
Fecha inicio = 08/11/2024;Fecha fin = 15/11/2024;Especialidad = Dermatologia;Id = 12;Nombre = 12;
Fecha inicio = 08/11/2024;Fecha fin = 15/11/2024;Especialidad = MedicinaInterna;Id = 21;Nombre = 21;
Fecha inicio = 08/11/2024;Fecha fin = 15/11/2024;Especialidad = MedicinaInterna;Id = 24;Nombre = 24;
Fecha inicio = 08/11/2024;Fecha fin = 15/11/2024;Especialidad = Neumologia;Id = 16;Nombre = 16;
Fecha inicio = 08/11/2024;Fecha fin = 15/11/2024;Especialidad = Neumologia;Id = 123;Nombre = GRANADOS;
Fecha inicio = 08/11/2024;Fecha fin = 15/11/2024;Especialidad = Oncologia;Id = 5;Nombre = 5;
Fecha inicio = 08/11/2024;Fecha fin = 15/11/2024;Especialidad = Oncologia;Id = 8;Nombre = 8;
Fecha inicio = 20/11/2024;Fecha fin = 27/11/2024;Especialidad = Cardiologia;Id = 17;Nombre = 17;
Fecha inicio = 20/11/2024;Fecha fin = 27/11/2024;Especialidad = Cardiologia;Id = 20;Nombre = 20;
Fecha inicio = 20/11/2024;Fecha fin = 27/11/2024;Especialidad = Cirugia;Id = 123456;Nombre = MANOLO;
Fecha inicio = 20/11/2024;Fecha fin = 27/11/2024;Especialidad = Cirugia;Id = 3;Nombre = 3;
Fecha inicio = 20/11/2024;Fecha fin = 27/11/2024;Especialidad = Dermatologia;Id = 10;Nombre = 10;
Fecha inicio = 20/11/2024;Fecha fin = 27/11/2024;Especialidad = Dermatologia;Id = 9;Nombre = 9;
Fecha inicio = 20/11/2024;Fecha fin = 27/11/2024;Especialidad = MedicinaInterna;Id = 23;Nombre = 23;
Fecha inicio = 20/11/2024;Fecha fin = 27/11/2024;Especialidad = MedicinaInterna;Id = 22;Nombre = 22;
Fecha inicio = 20/11/2024;Fecha fin = 27/11/2024;Especialidad = Neumologia;Id = 13;Nombre = 13;
Fecha inicio = 20/11/2024;Fecha fin = 27/11/2024;Especialidad = Neumologia;Id = 15;Nombre = 15;
Fecha inicio = 20/11/2024;Fecha fin = 27/11/2024;Especialidad = Oncologia;Id = 6;Nombre = 6;
Fecha inicio = 20/11/2024;Fecha fin = 27/11/2024;Especialidad = Oncologia;Id = 7;Nombre = 7;
Fecha inicio = 22/11/2024;Fecha fin = 29/11/2024;Especialidad = Cardiologia;Id = 18;Nombre = 18;
Fecha inicio = 22/11/2024;Fecha fin = 29/11/2024;Especialidad = Cardiologia;Id = 19;Nombre = 19;
Fecha inicio = 22/11/2024;Fecha fin = 29/11/2024;Especialidad = Cirugia;Id = 1;Nombre = 1;
Fecha inicio = 22/11/2024;Fecha fin = 29/11/2024;Especialidad = Cirugia;Id = 4;Nombre = 4;
Fecha inicio = 22/11/2024;Fecha fin = 29/11/2024;Especialidad = Dermatologia;Id = 11;Nombre = 11;
Fecha inicio = 22/11/2024;Fecha fin = 29/11/2024;Especialidad = Dermatologia;Id = 12;Nombre = 12;
Fecha inicio = 22/11/2024;Fecha fin = 29/11/2024;Especialidad = MedicinaInterna;Id = 21;Nombre = 21;
Fecha inicio = 22/11/2024;Fecha fin = 29/11/2024;Especialidad = MedicinaInterna;Id = 24;Nombre = 24;
Fecha inicio = 22/11/2024;Fecha fin = 29/11/2024;Especialidad = Neumologia;Id = 123;Nombre = GRANADOS;
Fecha inicio = 22/11/2024;Fecha fin = 29/11/2024;Especialidad = Neumologia;Id = 1141114535;Nombre = Juan pp;
Fecha inicio = 22/11/2024;Fecha fin = 29/11/2024;Especialidad = Oncologia;Id = 8;Nombre = 8;
Fecha inicio = 22/11/2024;Fecha fin = 29/11/2024;Especialidad = Oncologia;Id = 5;Nombre = 5;
Fecha inicio = 23/11/2024;Fecha fin = 30/11/2024;Especialidad = Cardiologia;Id = 17;Nombre = 17;
Fecha inicio = 23/11/2024;Fecha fin = 30/11/2024;Especialidad = Cardiologia;Id = 20;Nombre = 20;
Fecha inicio = 23/11/2024;Fecha fin = 30/11/2024;Especialidad = Cirugia;Id = 3;Nombre = 3;
Fecha inicio = 23/11/2024;Fecha fin = 30/11/2024;Especialidad = Cirugia;Id = 2;Nombre = 2;
Fecha inicio = 23/11/2024;Fecha fin = 30/11/2024;Especialidad = Dermatologia;Id = 10;Nombre = 10;
Fecha inicio = 23/11/2024;Fecha fin = 30/11/2024;Especialidad = Dermatologia;Id = 9;Nombre = 9;
Fecha inicio = 23/11/2024;Fecha fin = 30/11/2024;Especialidad = MedicinaInterna;Id = 23;Nombre = 23;
Fecha inicio = 23/11/2024;Fecha fin = 30/11/2024;Especialidad = MedicinaInterna;Id = 22;Nombre = 22;
Fecha inicio = 23/11/2024;Fecha fin = 30/11/2024;Especialidad = Neumologia;Id = 14;Nombre = 14;
Fecha inicio = 23/11/2024;Fecha fin = 30/11/2024;Especialidad = Neumologia;Id = 16;Nombre = 16;
Fecha inicio = 23/11/2024;Fecha fin = 30/11/2024;Especialidad = Oncologia;Id = 6;Nombre = 6;
Fecha inicio = 23/11/2024;Fecha fin = 30/11/2024;Especialidad = Oncologia;Id = 7;Nombre = 7;
Fecha inicio = 24/11/2024;Fecha fin = 01/12/2024;Especialidad = Cardiologia;Id = 19;Nombre = 19;
Fecha inicio = 24/11/2024;Fecha fin = 01/12/2024;Especialidad = Cardiologia;Id = 18;Nombre = 18;
Fecha inicio = 24/11/2024;Fecha fin = 01/12/2024;Especialidad = Cirugia;Id = 123456;Nombre = MANOLO;
Fecha inicio = 24/11/2024;Fecha fin = 01/12/2024;Especialidad = Cirugia;Id = 4;Nombre = 4;
Fecha inicio = 24/11/2024;Fecha fin = 01/12/2024;Especialidad = Dermatologia;Id = 11;Nombre = 11;
Fecha inicio = 24/11/2024;Fecha fin = 01/12/2024;Especialidad = Dermatologia;Id = 12;Nombre = 12;
Fecha inicio = 24/11/2024;Fecha fin = 01/12/2024;Especialidad = MedicinaInterna;Id = 21;Nombre = 21;
Fecha inicio = 24/11/2024;Fecha fin = 01/12/2024;Especialidad = MedicinaInterna;Id = 24;Nombre = 24;
Fecha inicio = 24/11/2024;Fecha fin = 01/12/2024;Especialidad = Neumologia;Id = 13;Nombre = 13;
Fecha inicio = 24/11/2024;Fecha fin = 01/12/2024;Especialidad = Neumologia;Id = 123;Nombre = GRANADOS;
Fecha inicio = 24/11/2024;Fecha fin = 01/12/2024;Especialidad = Oncologia;Id = 5;Nombre = 5;
Fecha inicio = 24/11/2024;Fecha fin = 01/12/2024;Especialidad = Oncologia;Id = 8;Nombre = 8;
Fecha inicio = 25/11/2024;Fecha fin = 02/12/2024;Especialidad = Cardiologia;Id = 20;Nombre = 20;
Fecha inicio = 25/11/2024;Fecha fin = 02/12/2024;Especialidad = Cardiologia;Id = 17;Nombre = 17;
Fecha inicio = 25/11/2024;Fecha fin = 02/12/2024;Especialidad = Cirugia;Id = 3;Nombre = 3;
Fecha inicio = 25/11/2024;Fecha fin = 02/12/2024;Especialidad = Cirugia;Id = 2;Nombre = 2;
Fecha inicio = 25/11/2024;Fecha fin = 02/12/2024;Especialidad = Dermatologia;Id = 10;Nombre = 10;
Fecha inicio = 25/11/2024;Fecha fin = 02/12/2024;Especialidad = Dermatologia;Id = 9;Nombre = 9;
Fecha inicio = 25/11/2024;Fecha fin = 02/12/2024;Especialidad = MedicinaInterna;Id = 22;Nombre = 22;
Fecha inicio = 25/11/2024;Fecha fin = 02/12/2024;Especialidad = MedicinaInterna;Id = 23;Nombre = 23;
Fecha inicio = 25/11/2024;Fecha fin = 02/12/2024;Especialidad = Neumologia;Id = 14;Nombre = 14;
Fecha inicio = 25/11/2024;Fecha fin = 02/12/2024;Especialidad = Neumologia;Id = 1141114535;Nombre = Juan pp;
Fecha inicio = 25/11/2024;Fecha fin = 02/12/2024;Especialidad = Oncologia;Id = 6;Nombre = 6;
Fecha inicio = 25/11/2024;Fecha fin = 02/12/2024;Especialidad = Oncologia;Id = 7;Nombre = 7;
